# Number of LUNs, probe time
1, 6.53
2, 6.63
3, 6.73
4, 6.85
5, 6.91
6, 7.00
7, 7.13
8, 7.25
9, 7.22
10, 7.38
11, 7.49
12, 7.50
13, 7.74
14, 7.69
15, 7.72
16, 7.85
17, 8.00
18, 8.06
19, 8.12
20, 8.29
21, 8.39
22, 8.48
23, 8.57
24, 8.66
25, 8.56
26, 8.83
27, 8.87
28, 8.88
29, 9.13
30, 9.24
31, 9.15
32, 9.24
33, 9.51
34, 9.37
35, 9.54
36, 9.58
37, 9.80
38, 9.82
39, 9.71
40, 9.89
41, 10.19
42, 10.25
43, 10.36
44, 10.31
45, 10.45
46, 10.50
47, 10.68
48, 10.71
49, 10.76
50, 10.80
51, 10.89
52, 10.81
53, 11.06
54, 11.37
55, 11.37
56, 11.28
57, 11.40
58, 11.64
59, 11.53
60, 11.72
61, 11.69
62, 12.11
63, 11.83
64, 12.25
65, 12.11
66, 12.23
67, 12.36
68, 12.38
69, 12.57
70, 12.73
71, 12.63
72, 12.99
73, 13.22
74, 12.70
75, 13.00
76, 12.95
77, 13.33
78, 13.40
79, 13.13
80, 13.79
81, 13.40
82, 13.64
83, 14.13
84, 14.33
85, 14.13
86, 14.49
87, 14.47
88, 14.60
89, 14.62
90, 14.56
91, 14.78
92, 15.47
93, 15.25
94, 15.77
95, 15.44
96, 15.55
97, 15.91
98, 16.04
99, 16.22
100, 16.54
101, 16.37
102, 16.53
103, 16.56
104, 17.16
105, 16.85
106, 16.96
107, 17.35
108, 17.10
109, 17.23
110, 18.00
111, 18.03
112, 18.00
113, 18.07
114, 18.53
115, 18.53
116, 18.68
117, 19.17
118, 19.18
119, 18.93
120, 18.88
121, 19.36
122, 19.50
123, 19.67
124, 19.50
125, 20.05
126, 19.66
127, 20.23
128, 20.22
129, 20.59
130, 20.70
131, 20.84
132, 20.82
133, 21.03
134, 20.89
135, 21.46
136, 22.03
137, 21.64
138, 22.12
139, 22.02
140, 21.74
141, 22.14
142, 22.32
143, 22.62
144, 22.14
145, 23.85
146, 23.38
147, 22.98
148, 22.81
149, 23.79
150, 23.96
151, 23.44
152, 23.81
153, 24.24
154, 24.14
155, 24.06
156, 24.48
157, 25.04
158, 24.76
159, 24.49
160, 25.11
161, 25.48
162, 25.36
163, 25.83
164, 25.41
165, 25.76
166, 26.18
167, 26.07
168, 25.73
169, 26.26
170, 26.39
171, 26.74
172, 26.85
173, 27.00
174, 26.72
175, 27.09
176, 27.31
177, 27.38
178, 28.24
179, 27.92
180, 27.97
181, 27.89
182, 28.44
183, 28.34
184, 27.95
185, 28.30
186, 28.08
187, 28.94
188, 28.94
189, 29.47
190, 28.89
191, 29.56
