# Number of LUNs, probe time
1, 0.16
2, 0.16
3, 0.17
4, 0.17
5, 0.18
6, 0.19
7, 0.20
8, 0.21
9, 0.22
10, 0.23
11, 0.24
12, 0.26
13, 0.25
14, 0.27
15, 0.27
16, 0.29
17, 0.29
18, 0.30
19, 0.31
20, 0.32
21, 0.32
22, 0.34
23, 0.34
24, 0.35
25, 0.37
26, 0.38
27, 0.37
28, 0.38
29, 0.39
30, 0.41
31, 0.41
32, 0.42
33, 0.43
34, 0.44
35, 0.45
36, 0.45
37, 0.46
38, 0.47
39, 0.49
40, 0.48
41, 0.51
42, 0.51
43, 0.51
44, 0.53
45, 0.53
46, 0.54
47, 0.55
48, 0.56
49, 0.57
50, 0.57
51, 0.58
52, 0.59
53, 0.60
54, 0.60
55, 0.60
56, 0.62
57, 0.63
58, 0.63
59, 0.64
60, 0.65
61, 0.66
62, 0.69
63, 0.67
64, 0.68
65, 0.69
66, 0.70
67, 0.71
68, 0.72
69, 0.73
70, 0.73
71, 0.75
72, 0.75
73, 0.76
74, 0.82
75, 0.78
76, 0.80
77, 0.79
78, 0.83
79, 0.81
80, 0.81
81, 0.82
82, 0.84
83, 0.84
84, 0.86
85, 0.85
86, 0.86
87, 0.87
88, 0.92
89, 0.90
90, 0.90
91, 0.91
92, 0.92
93, 0.95
94, 0.93
95, 0.94
96, 0.95
97, 0.96
98, 0.98
99, 1.03
100, 0.96
101, 1.00
102, 1.01
103, 1.02
104, 1.02
105, 1.04
106, 1.05
107, 1.05
108, 1.05
109, 1.12
110, 1.09
111, 1.12
112, 1.18
113, 1.13
114, 1.14
115, 1.15
116, 1.18
117, 1.17
118, 1.18
119, 1.18
120, 1.20
121, 1.19
122, 1.21
123, 1.23
124, 1.23
125, 1.23
126, 1.25
127, 1.25
128, 1.25
129, 1.27
130, 1.27
131, 1.28
132, 1.29
133, 1.29
134, 1.31
135, 1.31
136, 1.34
137, 1.32
138, 1.31
139, 1.33
140, 1.35
141, 1.36
142, 1.37
143, 1.37
144, 1.38
145, 1.45
146, 1.40
147, 1.42
148, 1.46
149, 1.47
150, 1.48
151, 1.49
152, 1.50
153, 1.51
154, 1.50
155, 1.52
156, 1.53
157, 1.53
158, 1.56
159, 1.57
160, 1.57
161, 1.60
162, 1.60
163, 1.54
164, 1.60
165, 1.61
166, 1.61
167, 1.61
168, 1.63
169, 1.63
170, 1.64
171, 1.56
172, 1.64
173, 1.66
174, 1.68
175, 1.68
176, 1.72
177, 1.66
178, 1.71
179, 1.70
180, 1.72
181, 1.73
182, 1.70
183, 1.76
184, 1.76
185, 1.78
186, 1.82
187, 1.93
188, 1.84
189, 1.85
190, 1.88
191, 1.85
